Briançon,BRI
Briare,BEW
Brignac,BKX
Brignais,BGN
Brignoud,BNU
Brimeux,BWM
Brion - Laizy,BUJ
Brion - Montréal-la-Cluse,BMC
Brionne,BEU
Brioude,BRD
Briouze,BZN
Brive-la-Gaillarde,BLG
Broons,BOS
Brou,BRO
Broye,BQK
Bruges,BGH
Brumath,BAH
Brunoy,BNY
Brunémont,BPN
Bruyères,BUY
Bruyères-sur-Oise,BRK
Bruz,BRZ
Bréauté - Beuzeville,BTB
Brélidy - Plouëc,BYP
Brétigny-sur-Orge,BYR
Bréval,BVA
Bueil,BUE
Bugeat,BUG
Buire-sur-l'Ancre,BXA
Bully - Grenay,BGF
Buno - Gironville,BQV
Busigny,BSY
Bussac-Forêt,BMR
Busseau sur Creuse,BUC
Bussière-Galant,BGA
Buzy en Béarn,BUZ
Byans-sur-Doubs,BYB
Bègles,BGL
Béard,BVE
Bécon les Bruyères,BEC
Bédarieux,BED
Bédarrides,BDR
Bénesse-Maremne,BMX
Bénestroff,BEN
Béning-lès-Saint-Avold,BNG
Bétaille,BIK
Béthune,BET
Béziers,BZS
Cadaujac,CDJ
Caen,CAE
Caffiers,CAF
Cagnes-sur-Mer,CGM
Cahors,CAH
Calais,CSV
Calais - Fréthun,FHS
Callac,CCF
Calonne-Ricouart,CPC
Cambo-les-Bains,CPQ
Cambrai,CAM
Campagnac - Saint-Geniez,CNT
Cannes,CAN
Cannes La Bocca,CAB
Cantin,CNK
Cap-d'Ail,KAI
Capdenac,CDC
Capvern,CPN
Carantilly - Marigny,CIG
Carbonne,COA
Carcassonne,CNE
Carentan,CAR
Carhaix-Plouguer,CRX
Carignan,CAG
Carmaux,CMX
Carnoles,KRL
Carnoules,CNS
Carnoët - Locarn,CCN
Carpentras,IIM
Carry-le-Rouet,CRR
Casino Lacroix Laval,CCL
Cassel,CRD
Cassis,CSI
Castelnau-d'Estrétefonds,CDF
Castelnaudary,CTY
Castelsarrasin,CTN
Castillon-la-Bataille,CIO
Castres,CTR
Cattenières,CTT
Caudrot,KDT
Caudry,CAU
Caudéran Mérignac,CUD
Caulnes,CUL
Caussade,CSD
Cavaillon,CVN
Cavignac,CGC
Cazères,CZG
Ceilhes - Roqueredonde,COQ
Cenon,CBX
Cerbère,CER
Cercottes,CCT
Cercy-la-Tour,CLT
Cergy Préfecture,CYP
Cergy Saint-Christophe,CYC
Cergy le Haut,CJV
Cerizay,CEZ
Cernay (Haut-Rhin),CEF
Cernay (Val-d'Oise),CEJ
Cessieu,CIU
Cesson,CES
Cesson-Sévigné,CGT
Ceyzériat,CZR
Chabanais,CHB
Chabenet,CBQ
Chabris,CGY
Chagny,CHY
Chaingy Fourneaux Plage,CFX
Chalais,CIC
Chalon-sur-Saône,CSS
Chalonnes-sur-Loire,CCE
Chamalières-sur-Loire,CML
Chamarande,CHK
Chambly,CVK
Chamborigaud,CBO
Chambourg-sur-Indre,CMG
Chambéry - Challes-les-Eaux,CRL
Chamelet,CWE
Chamonix Aiguille du Midi,CHW
Chamonix-Mont-Blanc,CHX
Chamousset,CSK
Champ de Courses d'Enghien,CEG
Champ de Mars Tour Eiffel,CPM
Champagne-Ardenne TGV,CGV
Champagne-sur-Oise,CPI
Champagne-sur-Seine,CME
Champagney,CPY
Champagnole,CPG
Champagnole Paul-Émile Victor,PVT
Champagné,CGZ
Champbenoist - Poigny,CPK
Champigneulles,CHG
Champigny sur Yonne,CSY
Champs - Saint-Bris,CAI
Champtocé-sur-Loire,CWL
Chanac,CNA
Changis - Saint-Jean,CJN
Chanteloup-les-Vignes,CVF
Chantenay,CHA
Chantenay-Saint-Imbert,CXI
Chantilly - Gouvieux,CLY
Chantonnay,CTO
Chapeauroux,CPX
Chaponost,CPT
Chaponval,CPW
Charbonnières-les-Bains,CRB
Charleville-Mézières,CMZ
Charmes,CHS
Chars,CHR
Chartres,CHH
Chartrettes,CJR
Chasse-sur-Rhône,CSR
